Nodes,Levels,Times,Scenarios,NumCars
8,23,6,4,0.0
8,23,6,5,0.0
8,23,6,6,0.0
8,23,6,7,0.0
8,23,6,8,0.0
8,23,6,9,0.0
8,23,6,10,0.0
8,23,6,11,0.0
8,23,6,12,0.0
8,23,6,13,0.0
8,23,6,14,0.0
8,23,6,15,0.0
8,23,6,16,0.0
8,23,6,17,0.0
8,23,6,18,0.0
8,23,6,19,0.0
8,23,7,0,0.0
8,23,7,1,0.0
8,23,7,2,0.0
8,23,7,3,0.0
8,23,7,4,0.0
8,23,7,5,0.0
8,23,7,6,0.0
8,23,7,7,0.0
8,23,7,8,0.0
8,23,7,9,0.0
8,23,7,10,0.0
8,23,7,11,0.0
8,23,7,12,0.0
8,23,7,13,0.0
8,23,7,14,0.0
8,23,7,15,0.0
8,23,7,16,0.0
8,23,7,17,0.0
8,23,7,18,0.0
8,23,7,19,0.0
8,23,8,0,0.0
8,23,8,1,0.0
8,23,8,2,0.0
8,23,8,3,0.0
8,23,8,4,0.0
8,23,8,5,0.0
8,23,8,6,0.0
8,23,8,7,0.0
8,23,8,8,0.0
8,23,8,9,0.0
8,23,8,10,0.0
8,23,8,11,0.0
8,23,8,12,0.0
8,23,8,13,0.0
8,23,8,14,0.0
8,23,8,15,0.0
8,23,8,16,0.0
8,23,8,17,0.0
8,23,8,18,0.0
8,23,8,19,0.0
8,24,0,0,0.0190903703703703
8,24,0,1,0.0190903703703703
8,24,0,2,0.0190903703703703
8,24,0,3,0.0190903703703703
8,24,0,4,0.0190903703703703
8,24,0,5,0.0190903703703703
8,24,0,6,0.0190903703703703
8,24,0,7,0.0190903703703703
8,24,0,8,0.0190903703703703
8,24,0,9,0.0190903703703703
8,24,0,10,0.0190903703703703
8,24,0,11,0.0190903703703703
8,24,0,12,0.0190903703703703
8,24,0,13,0.0190903703703703
8,24,0,14,0.0190903703703703
8,24,0,15,0.0190903703703703
8,24,0,16,0.0190903703703703
8,24,0,17,0.0190903703703703
8,24,0,18,0.0190903703703703
8,24,0,19,0.0190903703703703
8,24,1,0,0.0190903703703703
8,24,1,1,0.0190903703703703
8,24,1,2,0.0
8,24,1,3,0.0190903703703703
8,24,1,4,0.0
8,24,1,5,0.0
8,24,1,6,0.0
8,24,1,7,0.0
8,24,1,8,0.0
8,24,1,9,0.0
8,24,1,10,0.0
8,24,1,11,0.0
8,24,1,12,0.0
8,24,1,13,0.0
8,24,1,14,0.0
8,24,1,15,0.0190903703703703
8,24,1,16,0.0190903703703703
8,24,1,17,0.0190903703703703
8,24,1,18,0.0
8,24,1,19,0.0
8,24,2,0,0.0
8,24,2,1,0.0
8,24,2,2,0.0
8,24,2,3,0.0
8,24,2,4,0.0
8,24,2,5,0.0
8,24,2,6,0.0
8,24,2,7,0.0
8,24,2,8,0.0
8,24,2,9,0.0
8,24,2,10,0.0
8,24,2,11,0.0
8,24,2,12,0.0
8,24,2,13,0.0
8,24,2,14,0.0
8,24,2,15,0.0
8,24,2,16,0.0
8,24,2,17,0.0
8,24,2,18,0.0
8,24,2,19,0.0
8,24,3,0,0.0
8,24,3,1,0.0
8,24,3,2,0.0
8,24,3,3,0.0
8,24,3,4,0.0
8,24,3,5,0.0
8,24,3,6,0.0
8,24,3,7,0.0
8,24,3,8,0.0
8,24,3,9,0.0
8,24,3,10,0.0
8,24,3,11,0.0
8,24,3,12,0.0
8,24,3,13,0.0
8,24,3,14,0.0
8,24,3,15,0.0
8,24,3,16,0.0
8,24,3,17,0.0
8,24,3,18,0.0
8,24,3,19,0.0
8,24,4,0,0.0
8,24,4,1,0.0
8,24,4,2,0.0
8,24,4,3,0.0
8,24,4,4,0.0
8,24,4,5,0.0
8,24,4,6,0.0
8,24,4,7,0.0
8,24,4,8,0.0
8,24,4,9,0.0
8,24,4,10,0.0
8,24,4,11,0.0
8,24,4,12,0.0
8,24,4,13,0.0
8,24,4,14,0.0
8,24,4,15,0.0
8,24,4,16,0.0
8,24,4,17,0.0
8,24,4,18,0.0
8,24,4,19,0.0
8,24,5,0,0.0
8,24,5,1,0.0
8,24,5,2,0.0
8,24,5,3,0.0
8,24,5,4,0.0
8,24,5,5,0.0
8,24,5,6,0.0
8,24,5,7,0.0
8,24,5,8,0.0
8,24,5,9,0.0
8,24,5,10,0.0
8,24,5,11,0.0
8,24,5,12,0.0
8,24,5,13,0.0
8,24,5,14,0.0
8,24,5,15,0.0
8,24,5,16,0.0
8,24,5,17,0.0
8,24,5,18,0.0
8,24,5,19,0.0
8,24,6,0,0.0
8,24,6,1,0.0
8,24,6,2,0.0
8,24,6,3,0.0
8,24,6,4,0.0
8,24,6,5,0.0
8,24,6,6,0.0
8,24,6,7,0.0
8,24,6,8,0.0
8,24,6,9,0.0
8,24,6,10,0.0
8,24,6,11,0.0
8,24,6,12,0.0
8,24,6,13,0.0
8,24,6,14,0.0
8,24,6,15,0.0
8,24,6,16,0.0
8,24,6,17,0.0
8,24,6,18,0.0
8,24,6,19,0.0
8,24,7,0,0.0
8,24,7,1,0.0
8,24,7,2,0.0
8,24,7,3,0.0
8,24,7,4,0.0
8,24,7,5,0.0
8,24,7,6,0.0
8,24,7,7,0.0
8,24,7,8,0.0
8,24,7,9,0.0
8,24,7,10,0.0
8,24,7,11,0.0
8,24,7,12,0.0
8,24,7,13,0.0
8,24,7,14,0.0
8,24,7,15,0.0
8,24,7,16,0.0
8,24,7,17,0.0
8,24,7,18,0.0
8,24,7,19,0.0
8,24,8,0,0.0
8,24,8,1,0.0
8,24,8,2,0.0
8,24,8,3,0.0
8,24,8,4,0.0
8,24,8,5,0.0
8,24,8,6,0.0
8,24,8,7,0.0
8,24,8,8,0.0
8,24,8,9,0.0
8,24,8,10,0.0
8,24,8,11,0.0
8,24,8,12,0.0
8,24,8,13,0.0
8,24,8,14,0.0
8,24,8,15,0.0
8,24,8,16,0.0
8,24,8,17,0.0
8,24,8,18,0.0
8,24,8,19,0.0
8,25,0,0,0.0157214814814814
8,25,0,1,0.0157214814814814
8,25,0,2,0.0157214814814814
8,25,0,3,0.0157214814814814
8,25,0,4,0.0157214814814814
8,25,0,5,0.0157214814814814
8,25,0,6,0.0157214814814814
8,25,0,7,0.0157214814814814
8,25,0,8,0.0157214814814814
8,25,0,9,0.0157214814814814
8,25,0,10,0.0157214814814814
8,25,0,11,0.0157214814814814
8,25,0,12,0.0157214814814814
8,25,0,13,0.0157214814814814
8,25,0,14,0.0157214814814814
8,25,0,15,0.0157214814814814
8,25,0,16,0.0157214814814814
8,25,0,17,0.0157214814814814
8,25,0,18,0.0157214814814814
8,25,0,19,0.0157214814814814
8,25,1,0,0.0157214814814814
8,25,1,1,0.0157214814814814
8,25,1,2,0.0157214814814814
8,25,1,3,0.0157214814814814
8,25,1,4,0.0157214814814814
8,25,1,5,0.0157214814814814
8,25,1,6,0.0157214814814814
8,25,1,7,0.0157214814814814
8,25,1,8,0.0157214814814814
8,25,1,9,0.0157214814814814
8,25,1,10,0.0
8,25,1,11,0.0157214814814814
8,25,1,12,0.0157214814814814
8,25,1,13,0.0157214814814814
8,25,1,14,0.0
8,25,1,15,0.0157214814814814
8,25,1,16,0.0157214814814814
8,25,1,17,0.0157214814814814
8,25,1,18,0.0157214814814814
8,25,1,19,0.0
8,25,2,0,0.0
8,25,2,1,0.0
8,25,2,2,0.0
8,25,2,3,0.0
8,25,2,4,0.0
8,25,2,5,0.0
8,25,2,6,0.0
8,25,2,7,0.0
8,25,2,8,0.0
8,25,2,9,0.0
8,25,2,10,0.0
8,25,2,11,0.0
8,25,2,12,0.0
8,25,2,13,0.0
8,25,2,14,0.0
8,25,2,15,0.0
8,25,2,16,0.0
8,25,2,17,0.0
8,25,2,18,0.0
8,25,2,19,0.0
8,25,3,0,0.0
8,25,3,1,0.0
8,25,3,2,0.0
8,25,3,3,0.0
8,25,3,4,0.0
8,25,3,5,0.0
8,25,3,6,0.0
8,25,3,7,0.0
8,25,3,8,0.0
8,25,3,9,0.0
8,25,3,10,0.0
8,25,3,11,0.0
8,25,3,12,0.0
8,25,3,13,0.0
8,25,3,14,0.0
8,25,3,15,0.0
8,25,3,16,0.0
8,25,3,17,0.0
8,25,3,18,0.0
8,25,3,19,0.0
8,25,4,0,0.0
8,25,4,1,0.0
8,25,4,2,0.0
8,25,4,3,0.0
8,25,4,4,0.0
8,25,4,5,0.0
8,25,4,6,0.0
8,25,4,7,0.0
8,25,4,8,0.0
8,25,4,9,0.0
8,25,4,10,0.0
8,25,4,11,0.0
8,25,4,12,0.0
8,25,4,13,0.0
8,25,4,14,0.0
8,25,4,15,0.0
8,25,4,16,0.0
8,25,4,17,0.0
8,25,4,18,0.0
8,25,4,19,0.0
8,25,5,0,0.0
8,25,5,1,0.0
8,25,5,2,0.0
8,25,5,3,0.0
8,25,5,4,0.0
8,25,5,5,0.0
8,25,5,6,0.0
8,25,5,7,0.0
8,25,5,8,0.0
8,25,5,9,0.0
8,25,5,10,0.0
8,25,5,11,0.0
8,25,5,12,0.0
8,25,5,13,0.0
8,25,5,14,0.0
8,25,5,15,0.0
8,25,5,16,0.0
8,25,5,17,0.0
8,25,5,18,0.0
8,25,5,19,0.0
8,25,6,0,0.0
8,25,6,1,0.0
8,25,6,2,0.0
8,25,6,3,0.0
8,25,6,4,0.0
8,25,6,5,0.0
8,25,6,6,0.0
8,25,6,7,0.0
8,25,6,8,0.0
8,25,6,9,0.0
8,25,6,10,0.0
8,25,6,11,0.0
8,25,6,12,0.0
8,25,6,13,0.0
8,25,6,14,0.0
8,25,6,15,0.0
8,25,6,16,0.0
8,25,6,17,0.0
8,25,6,18,0.0
8,25,6,19,0.0
8,25,7,0,0.0
8,25,7,1,0.0
8,25,7,2,0.0
8,25,7,3,0.0
8,25,7,4,0.0
8,25,7,5,0.0
8,25,7,6,0.0
8,25,7,7,0.0
8,25,7,8,0.0
8,25,7,9,0.0
8,25,7,10,0.0
8,25,7,11,0.0
8,25,7,12,0.0
8,25,7,13,0.0
8,25,7,14,0.0
8,25,7,15,0.0
8,25,7,16,0.0
8,25,7,17,0.0
8,25,7,18,0.0
8,25,7,19,0.0
8,25,8,0,0.0
8,25,8,1,0.0
8,25,8,2,0.0
8,25,8,3,0.0
8,25,8,4,0.0
8,25,8,5,0.0
8,25,8,6,0.0
8,25,8,7,0.0
8,25,8,8,0.0
8,25,8,9,0.0
8,25,8,10,0.0
8,25,8,11,0.0
8,25,8,12,0.0
8,25,8,13,0.0
8,25,8,14,0.0
8,25,8,15,0.0
8,25,8,16,0.0
8,25,8,17,0.0
8,25,8,18,0.0
8,25,8,19,0.0
8,26,0,0,0.0123525925925925
8,26,0,1,0.0123525925925925
8,26,0,2,0.0123525925925925
8,26,0,3,0.0123525925925925
8,26,0,4,0.0123525925925925
8,26,0,5,0.0123525925925925
8,26,0,6,0.0123525925925925
8,26,0,7,0.0123525925925925
8,26,0,8,0.0123525925925925
8,26,0,9,0.0123525925925925
8,26,0,10,0.0123525925925925
8,26,0,11,0.0123525925925925
8,26,0,12,0.0123525925925925
8,26,0,13,0.0123525925925925
8,26,0,14,0.0123525925925925
8,26,0,15,0.0123525925925925
8,26,0,16,0.0123525925925925
8,26,0,17,0.0123525925925925
8,26,0,18,0.0123525925925925
8,26,0,19,0.0123525925925925
8,26,1,0,0.0123525925925925
8,26,1,1,0.0123525925925925
8,26,1,2,0.0
8,26,1,3,0.0123525925925925
8,26,1,4,0.0
8,26,1,5,0.0
8,26,1,6,0.0
8,26,1,7,0.0
8,26,1,8,0.0
8,26,1,9,0.0
8,26,1,10,0.0
8,26,1,11,0.0
8,26,1,12,0.0
8,26,1,13,0.0
8,26,1,14,0.0
8,26,1,15,0.0123525925925925
8,26,1,16,0.0123525925925925
8,26,1,17,0.0123525925925925
8,26,1,18,0.0
8,26,1,19,0.0
8,26,2,0,0.0
8,26,2,1,0.0
8,26,2,2,0.0
8,26,2,3,0.0
8,26,2,4,0.0
8,26,2,5,0.0
8,26,2,6,0.0
8,26,2,7,0.0
8,26,2,8,0.0
8,26,2,9,0.0
8,26,2,10,0.0
8,26,2,11,0.0
8,26,2,12,0.0
8,26,2,13,0.0
8,26,2,14,0.0
8,26,2,15,0.0
8,26,2,16,0.0
8,26,2,17,0.0
8,26,2,18,0.0
8,26,2,19,0.0
8,26,3,0,0.0
8,26,3,1,0.0
8,26,3,2,0.0
8,26,3,3,0.0
8,26,3,4,0.0
8,26,3,5,0.0
8,26,3,6,0.0
8,26,3,7,0.0
8,26,3,8,0.0
8,26,3,9,0.0
8,26,3,10,0.0
8,26,3,11,0.0
8,26,3,12,0.0
8,26,3,13,0.0
8,26,3,14,0.0
8,26,3,15,0.0
8,26,3,16,0.0
8,26,3,17,0.0
8,26,3,18,0.0
8,26,3,19,0.0
8,26,4,0,0.0
8,26,4,1,0.0
8,26,4,2,0.0
8,26,4,3,0.0
8,26,4,4,0.0
8,26,4,5,0.0
8,26,4,6,0.0
8,26,4,7,0.0
8,26,4,8,0.0
8,26,4,9,0.0
8,26,4,10,0.0
8,26,4,11,0.0
8,26,4,12,0.0
8,26,4,13,0.0
8,26,4,14,0.0
8,26,4,15,0.0
8,26,4,16,0.0
8,26,4,17,0.0
8,26,4,18,0.0
8,26,4,19,0.0
8,26,5,0,0.0
8,26,5,1,0.0
8,26,5,2,0.0
8,26,5,3,0.0
8,26,5,4,0.0
8,26,5,5,0.0
8,26,5,6,0.0
8,26,5,7,0.0
8,26,5,8,0.0
8,26,5,9,0.0
8,26,5,10,0.0
8,26,5,11,0.0
8,26,5,12,0.0
8,26,5,13,0.0
8,26,5,14,0.0
8,26,5,15,0.0
8,26,5,16,0.0
8,26,5,17,0.0
8,26,5,18,0.0
8,26,5,19,0.0
8,26,6,0,0.0
8,26,6,1,0.0
8,26,6,2,0.0
8,26,6,3,0.0
8,26,6,4,0.0
8,26,6,5,0.0
8,26,6,6,0.0
8,26,6,7,0.0
8,26,6,8,0.0
8,26,6,9,0.0
8,26,6,10,0.0
8,26,6,11,0.0
8,26,6,12,0.0
8,26,6,13,0.0
8,26,6,14,0.0
8,26,6,15,0.0
8,26,6,16,0.0
8,26,6,17,0.0
8,26,6,18,0.0
8,26,6,19,0.0
8,26,7,0,0.0
8,26,7,1,0.0
8,26,7,2,0.0
8,26,7,3,0.0
8,26,7,4,0.0
8,26,7,5,0.0
8,26,7,6,0.0
8,26,7,7,0.0
8,26,7,8,0.0
8,26,7,9,0.0
8,26,7,10,0.0
8,26,7,11,0.0
8,26,7,12,0.0
8,26,7,13,0.0
8,26,7,14,0.0
8,26,7,15,0.0
8,26,7,16,0.0
8,26,7,17,0.0
8,26,7,18,0.0
8,26,7,19,0.0
8,26,8,0,0.0
8,26,8,1,0.0
8,26,8,2,0.0
8,26,8,3,0.0
8,26,8,4,0.0
8,26,8,5,0.0
8,26,8,6,0.0
8,26,8,7,0.0
8,26,8,8,0.0
8,26,8,9,0.0
8,26,8,10,0.0
8,26,8,11,0.0
8,26,8,12,0.0
8,26,8,13,0.0
8,26,8,14,0.0
8,26,8,15,0.0
8,26,8,16,0.0
8,26,8,17,0.0
8,26,8,18,0.0
8,26,8,19,0.0
9,0,0,0,0.6200333333333333
9,0,0,1,0.6200333333333333
9,0,0,2,0.6200333333333333
9,0,0,3,0.6200333333333333
9,0,0,4,0.6200333333333333
9,0,0,5,0.6200333333333333
9,0,0,6,0.6200333333333333
9,0,0,7,0.6200333333333333
9,0,0,8,0.6200333333333333
9,0,0,9,0.6200333333333333
9,0,0,10,0.6200333333333333
9,0,0,11,0.6200333333333333
9,0,0,12,0.6200333333333333
9,0,0,13,0.6200333333333333
9,0,0,14,0.6200333333333333
9,0,0,15,0.6200333333333333
9,0,0,16,0.6200333333333333
9,0,0,17,0.6200333333333333
9,0,0,18,0.6200333333333333
9,0,0,19,0.6200333333333333
9,0,1,0,0.6200333333333333
9,0,1,1,0.6200333333333333
9,0,1,2,0.6200333333333333
9,0,1,3,0.6200333333333333
9,0,1,4,0.6200333333333333
9,0,1,5,0.6200333333333333
9,0,1,6,0.6200333333333333
9,0,1,7,0.6200333333333333
9,0,1,8,0.6200333333333333
9,0,1,9,0.6200333333333333
9,0,1,10,0.6200333333333333
9,0,1,11,0.6200333333333333
9,0,1,12,0.6200333333333333
9,0,1,13,0.6200333333333333
9,0,1,14,0.6200333333333333
9,0,1,15,0.6200333333333333
9,0,1,16,0.6200333333333333
9,0,1,17,0.6200333333333333
9,0,1,18,0.6200333333333333
9,0,1,19,0.6200333333333333
9,0,2,0,0.6200333333333333
9,0,2,1,0.6691488888888888
9,0,2,2,0.6691488888888888
9,0,2,3,0.6691488888888888
9,0,2,4,0.6691488888888888
9,0,2,5,0.6691488888888888
9,0,2,6,0.6691488888888888
9,0,2,7,0.6691488888888888
9,0,2,8,0.6691488888888888
9,0,2,9,0.6691488888888888
9,0,2,10,0.6200333333333333
9,0,2,11,0.6691488888888888
9,0,2,12,0.6691488888888888
9,0,2,13,0.6691488888888888
9,0,2,14,0.6691488888888888
9,0,2,15,0.6200333333333333
9,0,2,16,0.6200333333333333
9,0,2,17,0.6691488888888888
9,0,2,18,0.6691488888888888
9,0,2,19,0.6200333333333333
9,0,3,0,0.6200333333333333
9,0,3,1,0.6691488888888888
9,0,3,2,0.6691488888888888
9,0,3,3,0.6691488888888888
9,0,3,4,0.6691488888888888
9,0,3,5,0.6691488888888888
9,0,3,6,0.6691488888888888
9,0,3,7,0.6691488888888888
9,0,3,8,0.6691488888888888
9,0,3,9,0.6691488888888888
9,0,3,10,0.6200333333333333
9,0,3,11,0.6691488888888888
9,0,3,12,0.6691488888888888
9,0,3,13,0.6691488888888888
9,0,3,14,0.6691488888888888
9,0,3,15,0.6200333333333333
9,0,3,16,0.6200333333333333
9,0,3,17,0.6691488888888888
9,0,3,18,0.6691488888888888
9,0,3,19,0.6200333333333333
9,0,4,0,0.6200333333333333
9,0,4,1,0.6691488888888888
9,0,4,2,0.6691488888888888
9,0,4,3,0.6691488888888888
9,0,4,4,0.6691488888888888
9,0,4,5,0.6691488888888888
9,0,4,6,0.6691488888888888
9,0,4,7,0.6691488888888888
9,0,4,8,0.6691488888888888
9,0,4,9,0.6691488888888888
9,0,4,10,0.6200333333333333
9,0,4,11,0.6691488888888888
9,0,4,12,0.6691488888888888
9,0,4,13,0.6691488888888888
9,0,4,14,0.6691488888888888
9,0,4,15,0.6200333333333333
9,0,4,16,0.6200333333333333
9,0,4,17,0.6691488888888888
9,0,4,18,0.6691488888888888
9,0,4,19,0.6200333333333333
9,0,5,0,0.6200333333333333
9,0,5,1,0.6691488888888888
9,0,5,2,0.6691488888888888
9,0,5,3,0.6691488888888888
9,0,5,4,0.6691488888888888
9,0,5,5,0.6691488888888888
9,0,5,6,0.6691488888888888
9,0,5,7,0.6691488888888888
9,0,5,8,0.6691488888888888
9,0,5,9,0.6691488888888888
9,0,5,10,0.6200333333333333
9,0,5,11,0.6691488888888888
9,0,5,12,0.6691488888888888
9,0,5,13,0.6691488888888888
9,0,5,14,0.6691488888888888
9,0,5,15,0.6200333333333333
9,0,5,16,0.6200333333333333
9,0,5,17,0.6691488888888888
9,0,5,18,0.6691488888888888
9,0,5,19,0.6200333333333333
9,0,6,0,0.6200333333333333
9,0,6,1,0.6691488888888888
9,0,6,2,0.6691488888888888
9,0,6,3,0.6691488888888888
9,0,6,4,0.6691488888888888
9,0,6,5,0.6691488888888888
9,0,6,6,0.6691488888888888
9,0,6,7,0.6691488888888888
9,0,6,8,0.6691488888888888
9,0,6,9,0.6691488888888888
9,0,6,10,0.6200333333333333
9,0,6,11,0.6691488888888888
9,0,6,12,0.6691488888888888
9,0,6,13,0.6691488888888888
9,0,6,14,0.6691488888888888
9,0,6,15,0.6200333333333333
9,0,6,16,0.6200333333333333
9,0,6,17,0.6691488888888888
9,0,6,18,0.6691488888888888
9,0,6,19,0.6200333333333333
9,0,7,0,0.6200333333333333
9,0,7,1,0.6691488888888888
9,0,7,2,0.6691488888888888
9,0,7,3,0.6691488888888888
9,0,7,4,0.6691488888888888
9,0,7,5,0.6691488888888888
9,0,7,6,0.6691488888888888
9,0,7,7,0.6691488888888888
9,0,7,8,0.6691488888888888
9,0,7,9,0.6691488888888888
9,0,7,10,0.6200333333333333
9,0,7,11,0.6691488888888888
9,0,7,12,0.6691488888888888
9,0,7,13,0.6691488888888888
9,0,7,14,0.6691488888888888
9,0,7,15,0.6200333333333333
9,0,7,16,0.6200333333333333
9,0,7,17,0.6691488888888888
9,0,7,18,0.6691488888888888
9,0,7,19,0.6200333333333333
9,0,8,0,0.6200333333333333
9,0,8,1,0.6691488888888888
9,0,8,2,0.6691488888888888
9,0,8,3,0.6691488888888888
9,0,8,4,0.6691488888888888
9,0,8,5,0.6691488888888888
9,0,8,6,0.6691488888888888
9,0,8,7,0.6691488888888888
9,0,8,8,0.6691488888888888
9,0,8,9,0.6691488888888888
9,0,8,10,0.6200333333333333
9,0,8,11,0.6691488888888888
9,0,8,12,0.6691488888888888
9,0,8,13,0.6691488888888888
9,0,8,14,0.6691488888888888
9,0,8,15,0.6200333333333333
9,0,8,16,0.6200333333333333
9,0,8,17,0.6691488888888888
9,0,8,18,0.6691488888888888
9,0,8,19,0.6200333333333333
9,1,0,0,0.5991333333333333
9,1,0,1,0.5991333333333333
9,1,0,2,0.5991333333333333
9,1,0,3,0.5991333333333333
9,1,0,4,0.5991333333333333
9,1,0,5,0.5991333333333333
9,1,0,6,0.5991333333333333
9,1,0,7,0.5991333333333333
9,1,0,8,0.5991333333333333
9,1,0,9,0.5991333333333333
9,1,0,10,0.5991333333333333
9,1,0,11,0.5991333333333333
9,1,0,12,0.5991333333333333
9,1,0,13,0.5991333333333333
9,1,0,14,0.5991333333333333
9,1,0,15,0.5991333333333333
9,1,0,16,0.5991333333333333
9,1,0,17,0.5991333333333333
9,1,0,18,0.5991333333333333
9,1,0,19,0.5991333333333333
9,1,1,0,0.0
9,1,1,1,0.0
9,1,1,2,0.0
9,1,1,3,0.0
9,1,1,4,0.0
9,1,1,5,0.0
9,1,1,6,0.0
9,1,1,7,0.0
9,1,1,8,0.0
9,1,1,9,0.0
9,1,1,10,0.5991333333333333
9,1,1,11,0.0
9,1,1,12,0.0
9,1,1,13,0.0
9,1,1,14,0.5991333333333333
9,1,1,15,0.0
9,1,1,16,0.0
9,1,1,17,0.5991333333333333
9,1,1,18,0.0
9,1,1,19,0.5991333333333333
9,1,2,0,0.0
9,1,2,1,0.0
9,1,2,2,0.0
9,1,2,3,0.0
9,1,2,4,0.0
9,1,2,5,0.0
9,1,2,6,0.0
9,1,2,7,0.0
9,1,2,8,0.0
9,1,2,9,0.0
9,1,2,10,0.5991333333333333
9,1,2,11,0.0
9,1,2,12,0.0
9,1,2,13,0.0
9,1,2,14,0.5991333333333333
9,1,2,15,0.0
9,1,2,16,0.0
9,1,2,17,0.5991333333333333
9,1,2,18,0.0
9,1,2,19,0.5991333333333333
9,1,3,0,0.0
9,1,3,1,0.0
9,1,3,2,0.0
9,1,3,3,0.0
9,1,3,4,0.0
9,1,3,5,0.0
9,1,3,6,0.0
9,1,3,7,0.0
9,1,3,8,0.0
9,1,3,9,0.0
9,1,3,10,0.5991333333333333
9,1,3,11,0.0
9,1,3,12,0.0
9,1,3,13,0.0
9,1,3,14,0.5991333333333333
9,1,3,15,0.0
9,1,3,16,0.0
9,1,3,17,0.5991333333333333
9,1,3,18,0.0
9,1,3,19,0.5991333333333333
9,1,4,0,0.0
9,1,4,1,0.0
9,1,4,2,0.0
9,1,4,3,0.0
9,1,4,4,0.0
9,1,4,5,0.0
9,1,4,6,0.0
9,1,4,7,0.0
9,1,4,8,0.0
9,1,4,9,0.0
9,1,4,10,0.5991333333333333
9,1,4,11,0.0
9,1,4,12,0.0
9,1,4,13,0.0
9,1,4,14,0.5991333333333333
9,1,4,15,0.0
9,1,4,16,0.0
9,1,4,17,0.5991333333333333
9,1,4,18,0.0
9,1,4,19,0.5991333333333333
9,1,5,0,0.0
9,1,5,1,0.0
9,1,5,2,0.0
9,1,5,3,0.0
9,1,5,4,0.0
9,1,5,5,0.0
9,1,5,6,0.0
9,1,5,7,0.0
9,1,5,8,0.0
9,1,5,9,0.0
9,1,5,10,0.5991333333333333
9,1,5,11,0.0
9,1,5,12,0.0
9,1,5,13,0.0
9,1,5,14,0.5991333333333333
9,1,5,15,0.0
9,1,5,16,0.0
9,1,5,17,0.5991333333333333
9,1,5,18,0.0
9,1,5,19,0.5991333333333333
9,1,6,0,0.0
9,1,6,1,0.0
9,1,6,2,0.0
9,1,6,3,0.0
9,1,6,4,0.0
9,1,6,5,0.0
9,1,6,6,0.0
9,1,6,7,0.0
9,1,6,8,0.0
9,1,6,9,0.0
9,1,6,10,0.5991333333333333
9,1,6,11,0.0
9,1,6,12,0.0
9,1,6,13,0.0
9,1,6,14,0.5991333333333333
9,1,6,15,0.0
9,1,6,16,0.0
9,1,6,17,0.5991333333333333
9,1,6,18,0.0
9,1,6,19,0.5991333333333333
9,1,7,0,0.0
9,1,7,1,0.0
9,1,7,2,0.0
9,1,7,3,0.0
9,1,7,4,0.0
9,1,7,5,0.0
9,1,7,6,0.0
9,1,7,7,0.0
9,1,7,8,0.0
9,1,7,9,0.0
9,1,7,10,0.5991333333333333
9,1,7,11,0.0
9,1,7,12,0.0
9,1,7,13,0.0
9,1,7,14,0.5991333333333333
9,1,7,15,0.0
9,1,7,16,0.0
9,1,7,17,0.5991333333333333
9,1,7,18,0.0
9,1,7,19,0.5991333333333333
9,1,8,0,0.0
9,1,8,1,0.0
9,1,8,2,0.0
9,1,8,3,0.0
9,1,8,4,0.0
9,1,8,5,0.0
9,1,8,6,0.0
9,1,8,7,0.0
9,1,8,8,0.0
9,1,8,9,0.0
9,1,8,10,0.5991333333333333
9,1,8,11,0.0
9,1,8,12,0.0
9,1,8,13,0.0
9,1,8,14,0.5991333333333333
9,1,8,15,0.0
9,1,8,16,0.0
9,1,8,17,0.5991333333333333
9,1,8,18,0.0
9,1,8,19,0.5991333333333333
9,2,0,0,0.5782333333333334
9,2,0,1,0.5782333333333334
9,2,0,2,0.5782333333333334
9,2,0,3,0.5782333333333334
9,2,0,4,0.5782333333333334
9,2,0,5,0.5782333333333334
9,2,0,6,0.5782333333333334
9,2,0,7,0.5782333333333334
9,2,0,8,0.5782333333333334
9,2,0,9,0.5782333333333334
9,2,0,10,0.5782333333333334
9,2,0,11,0.5782333333333334
9,2,0,12,0.5782333333333334
9,2,0,13,0.5782333333333334
9,2,0,14,0.5782333333333334
9,2,0,15,0.5782333333333334
9,2,0,16,0.5782333333333334
9,2,0,17,0.5782333333333334
9,2,0,18,0.5782333333333334
9,2,0,19,0.5782333333333334
9,2,1,0,0.0
9,2,1,1,0.0
9,2,1,2,0.0
9,2,1,3,0.0
9,2,1,4,0.0
9,2,1,5,0.0
9,2,1,6,0.0
9,2,1,7,0.0
9,2,1,8,0.0
9,2,1,9,0.0
9,2,1,10,0.0
9,2,1,11,0.0
9,2,1,12,0.0
9,2,1,13,0.0
9,2,1,14,0.0
9,2,1,15,0.0
9,2,1,16,0.0
9,2,1,17,0.0
9,2,1,18,0.0
9,2,1,19,0.0
9,2,2,0,0.0
9,2,2,1,0.0
9,2,2,2,0.0
9,2,2,3,0.0
9,2,2,4,0.0
9,2,2,5,0.0
9,2,2,6,0.0
9,2,2,7,0.0
9,2,2,8,0.0
9,2,2,9,0.0
9,2,2,10,0.0
9,2,2,11,0.0
9,2,2,12,0.0
9,2,2,13,0.0
9,2,2,14,0.0
9,2,2,15,0.0
9,2,2,16,0.0
9,2,2,17,0.0
9,2,2,18,0.0
9,2,2,19,0.0
9,2,3,0,0.0
9,2,3,1,0.0
9,2,3,2,0.0
9,2,3,3,0.0
9,2,3,4,0.0
9,2,3,5,0.0
